word,complexity_level
болу,A1
ол,A1
мен,A1
деу,A1
алу,A1
беру,A2
және,A2
келу,A1
де,A1
бұл,A1
да,A1
жыл,A1
бір,A1
өз,A1
тұру,A2
сөз,A1
осы,A1
адам,A2
қазақ,A2
айту,A2
білім,A2
үшін,A2
кету,A2
ел,A1
отыру,A2
қандай,A2
екен,A2
біз,A1
сол,A1
жер,A1
тіл,A1
ету,A1
бала,A2
ғана,A2
күн,A1
емес,A2
жүру,A2
халық,A2
қалу,A2
бару,A1
жоқ,A1
жасау,A2
сен,A1
не,A1
бір,A1
бірақ,A2
ұлттық,A2
керек,A2
жату,A2
көру,A2
жұмыс,A2
екі,A1
өлең,A2
еңбек,A2
бар,A1
қарай,A2
көп,A1
бойынша,B1
көз,A1
шығу,A2
әйел,A2
мен,A1
басқа,A2
кез,A1
дейін,A2
үй,A1
қарау,A2
көрсету,B1
жол,A1
қызмет,A2
қол,A1
оқу,A2
сонымен,B1
деңгей,A2
бас,A1
қала,A2
білдіру,B1
өмір,A2
республика,B2
немесе,A2
ие,A1
түр,A1
зерттеу,B1
тапсырма,B1
өту,A1
іш,A1
ең,A1
мемлекет,B1
егер,A2
мәселе,A2
өзі,A1
бәрі,A2
қатысу,A2
іс,A1
түсу,A2
отбасы,A2
жаңа,A2
бастау,A2
жету,A2
ал,A1
барлық,A2
арқылы,A2
соң,A1
жақсы,A1
туралы,A2
жеке,A2
ат,A1
су,A1
зерттеу,B1
пен,A1
негіз,A2
мектеп,B1
қою,A1
берілу,A2
істеу,A2
оқушы,A2
бірінші,B1
үлкен,A2
қазір,A2
мақсат,A2
тарту,A2
жағдай,A2
кім,A1
мемлекеттік,B2
уақыт,A2
сала,A2
қабылдау,B1
сан,A1
ғалым,A2
ара,A1
ғой,A1
ақын,A2
жауап,A2
сияқты,A2
құқық,A2
реттеу,A2
тағы,A2
табу,A2
күш,A1
сату,A2
сіз,A1
ауыл,A2
даму,A2
енді,A2
бет,A1
облыс,A2
ұлт,A1
айналу,A2
топ,A1
байланысты,B2
жатыру,A2
тек,A1
заң,A1
сақтау,A2
сонда,A2
жіберу,A2
ойлау,A2
қайту,A2
әр,A1
аталу,A2
атау,A2
қосымша,B1
әке,A1
сабақ,A2
кен,A1
сөйлеу,A2
мысал,A2
мына,A2
үш,A1
өте,A1
бес,A1
жоғары,A2
бүгін,A2
кейін,A2
рет,A1
қатар,A2
пайдалану,B1
жылы,A2
зерттеушілік,B2
бой,A1
қажет,A2
сұрау,A2
түсіну,A2
қалай,A2
жүйе,A2
салу,A2
мүмкін,A2
оқу,A2
құрал,A2
қолдау,A2
қайта,A2
ғасыр,A2
көтеру,A2
құжат,A2
анықтау,B1
ой,A1
сондықтан,B1
табылу,A2
орындау,B1
орталық,B1
қара,A2
кіру,A2
негізгі,B1
сұрақ,A2
ана,A1
мойындау,B1
әдебиет,B1
тау,A1
өзен,A2
жас,A1
қарсы,A2
шығару,A2
бағдарлама,B2
бағалау,B1
көріну,A2
мәтін,A2
белгілі,B1
дүние,A2
асыру,A2
хан,A1
біту,A2
дамыту,A2
қоғам,B1
дұрыс,A2
орган,A2
себеп,A2
кітап,A2
кеңес,A2
қабылдау,B1
жасалу,A2
өнер,A2
он,A1
өткізу,A2
билік,A2
тәртіп,A2
тарих,A2
пайда,A2
талап,A2
би,A1
сурет,A2
өсу,A1
мүмкіндік,C1
әкелу,A2
мұны,A2
қаржы,A2
бірлік,A2
дала,A2
түрлі,A2
нәтиже,A2
қой,A1
көше,A2
жоба,A2
кезең,A2
кәсіпкер,B1
жеткізу,B1
қай,A1
халықаралық,B2
әңгіме,A2
белгі,A2
ұстау,A2
оқыту,A2
жан,A1
өкіл,A2
қорғау,A2
мұндай,A2
мәдениет,B1
дәл,A1
сот,A1
кездесу,B1
көңіл,A2
ұйым,A2
ғылым,A2
үйрету,A2
ауыз,A2
әртүрлі,B1
басқару,B1
ұлы,A1
бір-бір,B1
