,word,f1,f2,f3,f4,f5,f6,f7,number_of_letters,chatgpt_score_encoded,fasttext_A_sim,fasttext_B_sim,fasttext_C_sim,score_encoded
0,прагматикалық,0,0,0,8,0,116,0,13,4,0.24505565,0.34353325,0.34865052,3
1,археологиялық,103,10,0,3,0,28,0,13,4,0.3119712,0.36959937,0.31562385,3
2,думан,100,0,6,10,7,14,3,5,2,0.35017458,0.37127396,0.29558164,2
3,графика,89,1,0,13,1,54,0,7,2,0.23216638,0.24272238,0.2733669,3
4,небәрі,27,1,5,21,7,79,0,6,2,0.34412852,0.26787388,0.24340056,2
5,діңгек,32,2,8,4,7,90,0,6,2,0.27739426,0.32654798,0.27889714,2
6,сөйтіп,0,8,124,39,2,2,0,6,2,0.26592004,0.28131396,0.28593308,2
7,кальций,140,1,0,2,0,7,1,7,2,0.30762246,0.33598685,0.24913867,3
8,үлгерім,97,24,0,4,0,16,0,7,2,0.3664865,0.3512566,0.3009248,2
9,шаттық,58,0,20,10,10,43,0,6,2,0.36756897,0.4105158,0.38632128,3
10,әлдене,9,0,37,13,6,67,0,6,2,0.44943184,0.46261138,0.4790274,2
11,танау,29,0,44,12,3,64,0,5,2,0.4177561,0.41671798,0.46014133,1
12,шылау,103,1,2,0,0,46,0,5,2,0.32610068,0.37810698,0.35663548,3
13,шылау,103,1,2,0,0,46,0,5,2,0.32610068,0.37810698,0.35663548,3
14,ерен,38,2,5,22,2,56,0,4,0,0.32119066,0.36694387,0.34381473,3
15,биржа,6,25,0,4,1,96,0,5,2,0.2393819,0.24288122,0.18027633,3
16,қарар,6,100,0,1,5,37,0,5,2,0.34161133,0.3803868,0.3501851,3
17,макроэкономика,5,0,0,0,0,136,0,14,4,0.29153964,0.34719756,0.3108187,3
18,килограмм,96,1,0,5,0,28,1,9,3,0.32834822,0.2647578,0.19915442,1
19,үйір,78,36,1,20,11,85,0,4,0,0.3748742,0.4050714,0.3346311,2
20,үйір,78,36,1,20,11,85,0,4,0,0.3748742,0.4050714,0.3346311,2
21,тәте,29,0,53,18,5,55,0,4,0,0.06396369,0.053832076,0.046127368,0
22,құрт,20,8,69,28,44,67,2,4,0,0.3658533,0.3682969,0.35722739,1
23,құлан,65,0,18,8,3,46,0,5,2,0.34116092,0.35589305,0.38745895,2
24,тосын,20,0,1,18,4,121,3,5,2,0.4517335,0.46238616,0.4195336,3
25,башқұрт,111,0,0,0,0,39,0,7,2,0.21016729,0.23297594,0.25035948,2
26,бейнелі,53,1,1,5,0,89,0,7,2,0.35105035,0.3950947,0.38519546,3
27,пейіл,38,0,10,16,8,61,2,5,2,0.3338798,0.4342765,0.4208355,3
28,семіз,25,0,24,5,8,69,0,5,2,0.39266914,0.36640263,0.3479926,1
29,түсім,3,22,0,5,18,103,0,5,2,0.3374399,0.37257352,0.31456423,2
30,таспа,59,11,9,5,13,38,0,5,2,0.26013952,0.27711046,0.33367723,4
31,геологиялық,61,90,0,0,0,2,0,11,4,0.32517302,0.39957494,0.4004483,3
32,кәде,46,12,6,14,7,51,0,4,0,0.2855684,0.3247006,0.24838729,3
33,комсомол,61,1,1,17,4,55,0,8,3,0.3100418,0.32161212,0.26877958,3
34,хош,28,1,34,27,3,50,0,3,0,0.23949488,0.32997715,0.29528984,3
35,хош,28,1,34,27,3,50,0,3,0,0.23949488,0.32997715,0.29528984,3
36,дәлдік,36,15,0,3,1,78,0,6,2,0.36031884,0.40224814,0.3522563,2
37,маржан,67,6,12,30,0,29,1,6,2,0.28047445,0.31636107,0.29660296,3
38,былтырғы,82,1,6,9,0,62,0,8,3,0.30049792,0.2974276,0.27592418,1
39,ізгі,66,2,6,1,1,83,1,4,0,0.3448148,0.4261174,0.3564922,2
40,әтеш,59,0,48,3,6,9,0,4,0,0.27521852,0.21796161,0.15619576,1
41,ведомстволық,2,124,0,0,0,11,0,12,4,0.31136245,0.360068,0.3328839,3
42,бұрылыс,11,2,5,0,3,122,0,7,2,0.29055688,0.35100862,0.3399563,1
43,параметр,41,36,0,3,0,61,0,8,3,0.22319363,0.2732178,0.22820792,2
44,серке,49,0,6,32,3,37,0,5,2,0.35811603,0.3448177,0.3658449,1
45,өздігінен,109,2,4,13,0,0,0,9,3,0.35687938,0.36247423,0.33001322,2
46,өмірлік,84,14,4,35,0,0,1,7,2,0.42094246,0.46645823,0.37713692,2
47,масштаб,154,6,0,5,0,0,0,7,2,0.30435184,0.3245208,0.30964056,2
48,канал,75,0,2,3,3,49,0,5,2,0.17959607,0.18178144,0.16867948,1
49,зәре,15,0,80,14,16,13,0,4,0,0.18148105,0.18912013,0.1848292,3
50,леп,46,0,15,14,9,91,0,3,0,0.2504653,0.29669473,0.27230757,3
51,еңсе,33,0,17,27,10,84,0,4,0,0.32351288,0.37574366,0.4560574,4
52,аккредиттеу,0,0,0,0,0,18,0,11,4,0.2485418,0.27364513,0.23877093,3
53,аккредиттеу,0,0,0,0,0,18,0,11,4,0.2485418,0.27364513,0.23877093,3
54,небір,44,0,5,23,5,83,0,5,2,0.442405,0.45465404,0.46857184,3
55,айбын,19,0,9,3,1,100,0,5,2,0.37149963,0.48257712,0.4438555,2
56,зейін,105,0,9,3,2,54,0,5,2,0.29842418,0.35292438,0.30830613,3
57,мұндағы,70,1,4,44,8,0,0,7,2,0.29585007,0.3241533,0.27767375,2
58,әдебиетші,28,0,0,19,0,86,0,9,3,0.2325146,0.28322205,0.29539013,2
59,шатақ,1,0,15,12,78,49,0,5,2,0.34819865,0.37495524,0.39512095,3
60,дорба,40,0,44,23,3,49,0,5,2,0.38568056,0.353792,0.31294808,1
61,тақырыптық,35,34,0,14,0,75,0,10,3,0.37925866,0.42669955,0.41701034,3
62,жапон,17,0,11,20,13,95,11,5,2,0.25921255,0.28105876,0.22037548,2
63,саңырауқұлақ,99,0,0,13,15,15,2,12,4,0.3219955,0.30707875,0.2720414,1
64,менен,0,0,100,29,0,0,0,5,2,0.33491066,0.3248825,0.37797415,4
65,азбан,0,0,0,0,124,5,0,5,2,0.2153599,0.18978378,0.18636715,2
66,композиция,55,7,0,3,0,69,1,10,3,0.25762457,0.29544896,0.2714568,3
67,қарсаң,14,1,3,2,1,126,0,6,2,0.52110475,0.5797472,0.54583585,2
68,қатыгез,33,31,11,13,9,36,0,7,2,0.3301911,0.3642161,0.33066553,2
69,физик,122,0,0,3,1,10,0,5,2,0.24123375,0.2604789,0.21505053,2
70,жаршы,21,3,4,11,65,21,0,5,2,0.4110507,0.4592805,0.38592637,2
71,толағай,152,1,0,3,0,19,0,7,2,0.39169905,0.43298623,0.48018488,3
72,толағай,152,1,0,3,0,19,0,7,2,0.39169905,0.43298623,0.48018488,3
73,қорек,99,0,9,9,7,10,2,5,2,0.31095165,0.36087504,0.24686071,2
74,дуал,41,0,17,5,1,66,0,4,0,0.2657255,0.26500547,0.24297677,2
75,алюминий,143,9,0,0,0,7,0,8,3,0.23606312,0.2670219,0.22250842,3
76,қолжетімділік,1,130,0,14,1,1,1,13,4,0.3350699,0.3742319,0.3174308,2
77,іссапар,32,29,0,17,1,58,0,7,2,0.20231076,0.24170913,0.19066978,2
78,шыр,28,0,16,8,14,60,0,3,0,0.1912952,0.22807422,0.17625096,3
79,шыр,28,0,16,8,14,60,0,3,0,0.1912952,0.22807422,0.17625096,3
80,наным,65,12,1,6,0,59,0,5,2,0.29086202,0.35595024,0.286948,3
81,мұнай-газ,3,113,0,17,0,0,0,9,3,0.29473245,0.3739095,0.35996202,2
82,құйын,21,2,121,6,8,113,0,5,2,0.29669347,0.33844402,0.32839617,2
83,жиек,64,9,21,19,3,47,0,4,0,0.2338828,0.2574988,0.29446784,2
84,алтыбақан,83,0,27,13,0,14,3,9,3,0.374036,0.36367092,0.314075,2
85,ескек,51,4,70,8,4,10,0,5,2,0.27343664,0.27983904,0.25082898,3
86,кешкілік,80,0,14,8,1,23,0,8,3,0.3701291,0.32817644,0.29809958,2
87,талшық,75,5,1,2,1,43,0,6,2,0.25621328,0.2986594,0.2795823,3
88,даңғыл,59,1,1,24,1,62,1,6,2,0.30862316,0.36302686,0.36113212,1
89,даңғыл,59,1,1,24,1,62,0,6,2,0.30862316,0.36302686,0.36113212,1
90,бетер,15,0,34,11,25,52,0,5,2,0.36248523,0.38532585,0.41750085,2
91,инспектор,13,2,1,20,4,96,1,9,3,0.25177926,0.2563989,0.2032918,2
92,қауіпсіз,13,72,0,17,7,42,0,8,3,0.36376467,0.39133093,0.3201167,1
93,үш-төрт,13,0,8,13,4,108,1,7,2,0.44164252,0.34367204,0.3000275,1
94,атандай,2,0,0,0,0,143,0,7,2,0.2947646,0.2893501,0.29904565,4
95,кернеу,37,3,1,1,0,14,0,6,2,0.23290813,0.2709358,0.25638846,3
96,кернеу,37,3,1,1,0,14,0,6,2,0.23290813,0.2709358,0.25638846,3
97,жеткіліксіз,42,8,5,16,3,98,1,11,4,0.34849316,0.3359008,0.3094781,2
98,перде,17,2,8,10,44,50,0,5,2,0.2913897,0.2803508,0.28285226,1
99,туыстық,16,32,0,1,3,78,0,7,2,0.33291373,0.38750622,0.3047153,2
100,туыстық,16,32,0,1,3,78,0,7,2,0.33291373,0.38750622,0.3047153,2
101,бейхабар,6,0,2,7,1,107,1,8,3,0.32043347,0.3360129,0.32374167,3
102,артқы,58,10,0,5,0,78,0,5,2,0.30768678,0.3097549,0.3149915,2
103,кластер,22,12,0,9,0,122,0,7,2,0.28337824,0.29796457,0.23021537,2
104,бармақ,24,0,18,14,0,75,0,6,2,0.2911775,0.26773828,0.28369117,1
105,ұнтақ,68,7,8,9,5,27,0,5,2,0.2801206,0.3199375,0.29904005,2
106,нық,18,1,15,6,3,104,0,3,0,0.18457033,0.23577514,0.24008551,3
107,оттек,173,1,0,1,0,0,1,5,2,0.26788166,0.27995333,0.18360372,2
