Unnamed: 0,word,complexity_level
0,прагматикалық,C1
1,археологиялық,C1
2,думан,B1
3,графика,B1
4,небәрі,B1
5,діңгек,B1
6,сөйтіп,B1
7,кальций,B1
8,үлгерім,B1
9,шаттық,B1
10,әлдене,B1
11,танау,B1
12,шылау,B1
13,ерен,A1
14,биржа,B1
15,қарар,B1
16,макроэкономика,C1
17,килограмм,B2
18,үйір,A1
19,үйір,A1
20,үйір,A1
21,тәте,A1
22,құрт,A1
23,құрт,A1
24,құлан,B1
25,тосын,B1
26,башқұрт,B1
27,бейнелі,B1
28,пейіл,B1
29,семіз,B1
30,түсім,B1
31,таспа,B1
32,геологиялық,C1
33,кәде,A1
34,комсомол,B2
35,хош,A1
36,хош,A1
37,дәлдік,B1
38,маржан,B1
39,былтырғы,B2
40,ізгі,A1
41,әтеш,A1
42,ведомстволық,C1
43,бұрылыс,B1
44,параметр,B2
45,серке,B1
46,өздігінен,B2
47,өмірлік,B1
48,масштаб,B1
49,канал,B1
50,түсте,B1
51,зәре,A1
52,леп,A1
53,еңсе,A1
54,еңсе,A1
55,аккредиттеу,C1
56,небір,B1
57,айбын,B1
58,зейін,B1
59,мұндағы,B1
60,әдебиетші,B2
61,шатақ,B1
62,дорба,B1
63,тақырыптық,B2
64,жапон,B1
65,саңырауқұлақ,C1
66,менен,B1
67,азбан,B1
68,композиция,B2
69,қарсаң,B1
70,қатыгез,B1
71,физик,B1
72,жаршы,B1
73,толағай,B1
74,толағай,B1
75,қорек,B1
76,дуал,A1
77,алюминий,B2
78,қолжетімділік,C1
79,іссапар,B1
80,шыр,A1
81,шыр,A1
82,наным,B1
83,мұнай-газ,B2
84,құйын,B1
85,құйын,B1
86,жиек,A1
87,алтыбақан,B2
88,ескек,B1
89,кешкілік,B2
90,талшық,B1
91,даңғыл,B1
92,даңғыл,B1
93,бетер,B1
94,инспектор,B2
95,қауіпсіз,B2
96,үш-төрт,B1
97,атандай,B1
98,кернеу,B1
99,жеткіліксіз,C1
100,перде,B1
101,туыстық,B1
102,бейхабар,B2
103,артқы,B1
104,кластер,B1
105,бармақ,B1
106,ұнтақ,B1
107,нық,A1
108,оттек,B1
109,елу-алпыс,B2
110,желім,B1
111,валюталық,B2
112,қаһар,B1
113,олқы,A1
114,күллі,B1
115,материк,B1
116,омыртқа,B1
117,еркімен,B1
118,сақина,B1
119,жүгері,B1
120,айырым,B1
121,егіс,A1
122,камера,B1
123,ұйымдастырушылық,C1
124,бүлік,B1
125,бұрын-соңды,C1
126,түсініктеме,C1
127,мораль,B1
128,бу,A1
129,бу,A1
130,кесе,A1
131,поэтикалық,B2
132,сырлы,B1
133,ардақты,B1
134,ілік,A1
135,ілік,A1
136,ерігіштік,B2
137,ескертпе,B2
138,тәлім-тәрбие,C1
139,фразеологизм,C1
140,түз,A1
141,түз,A1
142,емен,A1
143,ауған,B1
144,үзіліс,B1
145,ашықтық,B1
146,мөр,A1
147,кристалл,B2
148,тыным,B1
149,аламан,B1
150,бүркеншік,B2
151,шалқар,B1
152,жанұя,B1
153,ықтималдылық,C1
154,әлдебір,B1
155,цикл,A1
156,хайуан,B1
157,тұла,A1
158,шеру,A1
159,бозбала,B1
160,көрнектілік,C1
161,қаңлы,B1
162,бірталай,B2
163,шуақ,A1
164,байып,B1
165,мерей,B1
166,сүйкімді,B2
167,пиғыл,B1
168,маркетинг,B2
169,үндестік,B2
170,әмбебап,B1
171,потенциал,B2
172,әсерлі,B1
173,алым,A1
174,күрке,B1
175,талапты,B1
176,қауырсын,B2
177,пауза,B1
178,сөзсіз,B1
179,қап-қара,B2
180,мөлшерлік,B2
181,түнек,B1
182,салмақты,B2
183,белбеу,B1
184,катализатор,C1
185,біріншіден,B2
186,айтпақшы,B2
187,ілгерілеу,B2
188,жолдама,B1
189,этнография,B2
190,пирамида,B2
191,дереккөз,B2
192,жеке-жеке,B2
193,эфир,A1
194,реңк,A1
195,ауызекі,B1
196,айналайын,B2
197,кітапханашы,C1
198,қарғыс,B1
199,кеніш,B1
200,алақай,B1
201,диссертация,C1
202,жеткізуші,B2
203,бұзық,B1
204,бұзық,B1
205,бейсенбі,B2
206,бәле,A1
207,бәле,A1
208,құрбандық,B2
209,алғыр,B1
210,қабір,B1
211,әзірше,B1
212,тәуелділік,B2
213,келтек,B1
214,мәтел,B1
215,полюс,B1
216,бөрене,B1
217,бригада,B1
218,қия,A1
219,жейде,B1
220,оп-оңай,B1
221,оркестр,B1
222,тұнба,B1
223,жезтырнақ,B2
224,жүдеу,B1
225,қонақүй,B1
226,константа,B2
227,нәтижелі,B2
228,мән-мағына,B2
229,осынша,B1
230,байтақ,B1
231,майлы,B1
232,коммунистік,C1
233,қорғасын,B2
234,картоп,B1
235,тау-кен,B1
236,атажұрт,B1
237,сықылды,B1
238,таблица,B1
239,көпес,B1
240,зират,B1
241,күмбез,B1
242,тапшылық,B2
243,порт,A1
244,жалын,B1
245,жалын,B1
246,батпақ,B1
247,күрек,B1
248,көр,A1
249,көр,A1
250,көр,A1
251,қасқа,B1
252,қасқа,B1
253,уәзір,B1
254,біршама,B1
255,пана,A1
256,ойын-сауық,B2
257,бұта,A1
258,бұта,A1
259,фермер,B1
260,домалақ,B1
261,кішігірім,B2
262,уыс,A1
263,кафедра,B1
264,алқым,B1
265,сыпайы,B1
266,арақатынас,B2
267,территория,B2
268,қал,A1
269,қал,A1
270,ризашылық,B2
271,аялдама,B1
272,реформалау,B2
273,ырым,A1
274,шалғай,B1
275,шалғай,B1
276,сауда-экономикалық,C1
277,қасық,B1
278,қымбатты,B2
279,функционалды,C1
280,жүлдегер,B2
281,шегарашы,B2
282,өй,A1
283,айыпталушы,B2
284,қомақты,B1
285,көбінесе,B2
286,таяуда,B1
287,мәміле,B1
288,дерлік,B1
289,жаңғақ,B1
290,вагон,B1
291,әжей,A1
292,массалық,B2
293,әдістемелік,C1
294,қай-қайдағы,C1
295,қулық,B1
296,музей,B1
297,мейірімділік,C1
298,қоқыс,B1
299,сульфат,B1
300,сөре,A1
301,төркін,B1
302,градус,B1
303,ішімдік,B1
304,ұстаздық,B2
305,полигон,B1
306,қосақ,B1
307,қызылша,B1
308,алғы,A1
309,алғы,A1
310,ойпат,B1
311,салат,B1
312,жауыздық,B2
313,серия,B1
314,мал-мүлік,B2
315,бейтарап,B2
316,синоним,B1
317,тәжірибелі,B2
318,қоғамдастық,C1
319,идеялық,B1
320,қайта-қайта,C1
321,тақау,B1
322,жеңіліс,B1
323,лирикалық,B2
324,жұқа,A1
325,күйші,B1
326,сыныптас,B2
327,жыршы,B1
328,ешқайда,B1
329,дәулет,B1
330,нәр,A1
331,жеміс-жидек,C1
332,моншақ,B1
333,жынды,B1
334,жауын-шашын,C1
335,қуанышты,B2
336,оймақ,B1
337,олқылық,B1
338,параллелизм,C1
339,резюме,B1
340,рецензия,B2
341,рулы,A1
342,соматикалық,C1
343,сұраным,B1
344,төлнұсқа,B2
345,тіфә,A1
346,трагикомедия,C1
347,терапевт,B2
348,танго,B1
349,шүлдір,B1
350,цивилизация,C1
351,феодал,B1
352,сырбаз,B1
353,сұқсыр,B1
354,спектрограмма,C1
355,секулярист,B2
356,тер,A1
357,тер,A1
358,мүйіз,B1
359,тұяқ,A1
360,қыстау,B1
361,күздеу,B1
362,көрікті,B1
363,әдемі,B1
364,сұлу,A1
365,қарапайым,B2
366,шындық,B1
367,шын,A1
368,ақиқат,B1
369,қарт,A1
370,қария,B1
371,әже,A1
372,құрмет,B1
373,қадір,B1
374,сый,A1
375,сый,A1
376,себеп,B1
377,айтыс,B1
378,айтыс,B1
379,дау,A1
380,талас,B1
381,талас,B1
382,ұрыс,A1
383,ұрыс,A1
384,баспана,B1
385,ғасыр,B1
386,азық,A1
387,азық-түлік,B2
388,мал,A1
389,мал,A1
390,шаруашылық,B2
391,тұрақ,B1
392,шақ,A1
393,шақ,A1
394,шақ,A1
395,шақ,A1
396,шақ,A1
397,мерзім,B1
398,мекен,B1
399,қоныс,B1
400,арба,A1
401,арба,A1
402,ханшайым,B2
403,ханзада,B1
404,керуен,B1
405,сауда,B1
406,саудагер,B2
407,арық,A1
408,арық,A1
409,жыра,A1
410,ор,A1
411,ор,A1
412,таяз,A1
413,маңызсыз,B2
414,үстірт,B1
415,үстірт,B1
416,қамыс,B1
417,көл,A1
418,жағалау,B1
419,жаға,A1
420,шағала,B1
421,сен,A1
422,сен,A1
423,сіз,A1
424,көркем,B1
425,шыншыл,B1
426,бедел,B1
427,абырой,B1
428,теріс,B1
429,ауырлық,B1
430,жасқаншақ,B2
431,міндет,B1
432,парыз,B1
433,ойымша,B1
434,пікір,B1
435,көзқарас,B2
436,теке,A1
437,айлакер,B1
438,қанағат,B1
439,қанағатсыз,B2
440,ау,A1
441,ау,A1
442,ау,A1
443,ау,A1
444,деңгей,B1
445,қимыл,B1
446,қайын,B1
447,мәлімет,B1
448,ешкі,A1
449,байқау,B1
450,жайылым,B1
451,тұздық,B1
452,тапсырыс,B2
453,тапсырыс,B2
454,аңшылық,B1
455,құрлық,B1
456,ат,A1
457,ат,A1
458,шошқа,B1
459,қоян,A1
460,қақпан,B1
461,тосқауыл,B2
462,жабайы,B1
463,шамалы,B1
464,шамалы,B1
465,шағын,B1
466,шағын,B1
467,дария,B1
468,біз,A1
469,біз,A1
470,шаруа,B1
471,сірә,A1
472,жыр,A1
